Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 01:00 AM,2017,12,01,01,96.1,172,Unhealthy,85.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 02:00 AM,2017,12,01,02,90.5,169,Unhealthy,81.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 03:00 AM,2017,12,01,03,88.2,168,Unhealthy,85.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 04:00 AM,2017,12,01,04,92.3,170,Unhealthy,98.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 05:00 AM,2017,12,01,05,88.6,168,Unhealthy,81.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 06:00 AM,2017,12,01,06,84.5,166,Unhealthy,78.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 07:00 AM,2017,12,01,07,89.1,168,Unhealthy,97.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 08:00 AM,2017,12,01,08,106.7,177,Unhealthy,132.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 09:00 AM,2017,12,01,09,128.4,189,Unhealthy,149.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 10:00 AM,2017,12,01,10,131.5,190,Unhealthy,135.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 11:00 AM,2017,12,01,11,120.3,184,Unhealthy,108.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 12:00 PM,2017,12,01,12,92.1,170,Unhealthy,64.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 01:00 PM,2017,12,01,13,64.0,155,Unhealthy,36.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 02:00 PM,2017,12,01,14,51.0,139,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 03:00 PM,2017,12,01,15,53.0,144,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 04:00 PM,2017,12,01,16,54.9,149,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 05:00 PM,2017,12,01,17,54.4,148,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 06:00 PM,2017,12,01,18,62.2,154,Unhealthy,70.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 07:00 PM,2017,12,01,19,73.1,160,Unhealthy,84.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 08:00 PM,2017,12,01,20,82.5,165,Unhealthy,92.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 09:00 PM,2017,12,01,21,102.2,175,Unhealthy,122.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 10:00 PM,2017,12,01,22,105.6,177,Unhealthy,109.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-01 11:00 PM,2017,12,01,23,98.3,173,Unhealthy,91.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-02 12:00 AM,2017,12,02,00,99.6,174,Unhealthy,101.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2017-12-02 01:00 AM,2017,12,02,01,91.3,169,Unhealthy,83.0,UG/M3,1 Hr,Valid
